Date,Close Price
3-Jan-22,1697.38
4-Jan-22,1711.26
5-Jan-22,1798.3
6-Jan-22,1798.635
7-Jan-22,1774.97
10-Jan-22,1780.495
11-Jan-22,1779.435
12-Jan-22,1794.465
13-Jan-22,1822.41
14-Jan-22,1819.92
17-Jan-22,1834.02
18-Jan-22,1815.645
19-Jan-22,1808.755
20-Jan-22,1726.03
21-Jan-22,1633.305
24-Jan-22,1570.795
25-Jan-22,1552.635
27-Jan-22,1536.055
28-Jan-22,1520
31-Jan-22,1568.985
1-Feb-22,1589.205
2-Feb-22,1670.69
3-Feb-22,1633.99
4-Feb-22,1620.195
7-Feb-22,1570.92
8-Feb-22,1597.52
9-Feb-22,1626.355
10-Feb-22,1638.92
11-Feb-22,1610.395
14-Feb-22,1568.13
15-Feb-22,1636.58
16-Feb-22,1627.995
17-Feb-22,1617.555
18-Feb-22,1610.13
21-Feb-22,1600.405
22-Feb-22,1622.23
23-Feb-22,1614.645
24-Feb-22,1524.64
25-Feb-22,1577.165
28-Feb-22,1600.735
2-Mar-22,1606.19
3-Mar-22,1570.135
4-Mar-22,1532.995
7-Mar-22,1436.82
8-Mar-22,1445.61
9-Mar-22,1501.885
10-Mar-22,1546.695
11-Mar-22,1556.485
14-Mar-22,1567.19
15-Mar-22,1570.905
16-Mar-22,1611.695
17-Mar-22,1637.74
21-Mar-22,1617.73
22-Mar-22,1650.095
23-Mar-22,1639.375
24-Mar-22,1637.755
25-Mar-22,1634.085
28-Mar-22,1651.9
29-Mar-22,1649.68
30-Mar-22,1712.75
31-Mar-22,1705.215
1-Apr-22,1713.405
4-Apr-22,1718.655
5-Apr-22,1681.885
6-Apr-22,1671.81
7-Apr-22,1656.455
8-Apr-22,1673.375
11-Apr-22,1657.405
12-Apr-22,1630.575
13-Apr-22,1608.18
18-Apr-22,1582.05
19-Apr-22,1568.905
20-Apr-22,1550.91
21-Apr-22,1583.485
22-Apr-22,1545.005
25-Apr-22,1526.32
26-Apr-22,1542.635
27-Apr-22,1482.855
28-Apr-22,1501.38
29-Apr-22,1490.845
2-May-22,1495.09
4-May-22,1432.54
5-May-22,1413.63
6-May-22,1364.35
9-May-22,1377.55
10-May-22,1362.645
11-May-22,1331.87
12-May-22,1284.895
13-May-22,1261.37
16-May-22,1266.385
17-May-22,1297.365
18-May-22,1275.88
19-May-22,1240.87
20-May-22,1256.215
23-May-22,1257.365
24-May-22,1235.975
25-May-22,1240.22
26-May-22,1247.305
27-May-22,1276.6
30-May-22,1293
31-May-22,1291.4
1-Jun-22,1259.875
2-Jun-22,1296.14
3-Jun-22,1269.105
6-Jun-22,1252.055
7-Jun-22,1233.635
8-Jun-22,1246.4
9-Jun-22,1247.43
10-Jun-22,1225.065
13-Jun-22,1139.09
14-Jun-22,1133.48
15-Jun-22,1181.385
16-Jun-22,1147.45
17-Jun-22,1175.84
20-Jun-22,1171.32
21-Jun-22,1173.51
22-Jun-22,1143.5
23-Jun-22,1156.02
24-Jun-22,1158.12
27-Jun-22,1159.48
28-Jun-22,1136.32
29-Jun-22,1111.445
30-Jun-22,1092.93
1-Jul-22,1132.635
4-Jul-22,1138.175
5-Jul-22,1151.915
6-Jul-22,1204.255
7-Jul-22,1196.58
8-Jul-22,1200.48
11-Jul-22,1193.265
12-Jul-22,1186
13-Jul-22,1176.905
14-Jul-22,1173.085
15-Jul-22,1183.89
18-Jul-22,1224.665
19-Jul-22,1244.53
20-Jul-22,1241.73
21-Jul-22,1271.825
22-Jul-22,1274.105
25-Jul-22,1261.065
26-Jul-22,1331.475
27-Jul-22,1330.315
28-Jul-22,1465.23
29-Jul-22,1503.93
1-Aug-22,1507.23
2-Aug-22,1521.575
3-Aug-22,1524.365
4-Aug-22,1517.89
5-Aug-22,1508.895
8-Aug-22,1553.42
10-Aug-22,1564.325
11-Aug-22,1572.93
12-Aug-22,1577.035
16-Aug-22,1591.43
17-Aug-22,1682.855
18-Aug-22,1681.075
19-Aug-22,1629.285
22-Aug-22,1587.265
23-Aug-22,1630.925
24-Aug-22,1632.815
25-Aug-22,1624.645
26-Aug-22,1628.755
29-Aug-22,1608.675
30-Aug-22,1696.67
1-Sep-22,1740.4
2-Sep-22,1733.115
5-Sep-22,1737.565
6-Sep-22,1697.43
7-Sep-22,1705.645
8-Sep-22,1738.145
9-Sep-22,1720.265
12-Sep-22,1715.78
13-Sep-22,1784.45
14-Sep-22,1806.1
15-Sep-22,1772
16-Sep-22,1735.1
19-Sep-22,1766.15
20-Sep-22,1802.8
